Product_Name,Actual_price,Sale_price,Review,Rattings,Offer,Camera,Processor,Battery,Memory,Display,Avg_rating
"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)",22999,18999,1311,15881,17% off,50MP + 50MP + 8MP | 16MP Front Camera,Dimensity 7300 Pro 5G Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,4.4
Samsung Guru 1200,1699,792,373,5194,53% off,800 mAh Battery,,NA,4 MB RAM | 10 MB ROM,3.86 cm (1.52 inch) Display,3.1
"POCO C71 (Cool Blue, 128 GB)",9999,6999,513,9351,30% off,32MP Rear Camera | 8MP Front Camera,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor",5200 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,4.1
"REDMI A5 (Pondicherry Blue, 64 GB)",8999,6499,116,2309,27% off,32MP Rear Camera | 8MP Front Camera,T7250 Processor,5200 mAh Battery,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,4.3
"MOTOROLA g05 (Forest Green, 64 GB)",9999,6999,3124,43806,30% off,50MP Rear Camera | 8MP Front Camera,Helio G81 Processor,5100 mAh Battery,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,4.2
"MOTOROLA g05 (Plum Red, 64 GB)",9999,6999,3124,43806,30% off,50MP Rear Camera | 8MP Front Camera,Helio G81 Processor,5100 mAh Battery,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD+ Display,4.2
"MOTOROLA g35 5G (Guava Red, 128 GB)",12499,9999,4764,64998,20% off,50MP + 8MP | 16MP Front Camera,T760 Processor,5000 mAh Battery,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,4.2
"POCO M6 Plus 5G (Ice Silver, 128 GB)",15999,10080,3573,59597,36% off,108MP + 2MP | 13MP Front Camera,Snapdragon 4 Gen2 AE Processor,5030 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,4.2
"REDMI A5 (Jaisalmer Gold, 128 GB)",9999,7499,96,1782,25% off,32MP Rear Camera | 8MP Front Camera,T7250 Processor,5200 mAh Battery,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,4.2
"POCO M7 5G (Ocean Blue, 128 GB)",12999,9299,1321,25331,28% off,50MP Rear Camera | 8MP Front Camera,4 Gen 2 5G Processor,5160 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,4.1
Samsung Guru Music 2 B310ED,1999,980,1264,16817,50% off,0MP | 0MP Front Camera,NA Processor,800 mAh Battery,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,4.57 cm (1.8 inch) VGA Display,3.1
"Samsung Galaxy F05 (Twilight Blue, 64 GB)",9999,6249,3502,61102,37% off,50MP + 2MP | 8MP Front Camera,Helio G85 Processor,5000 mAh Battery,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,4.2
"POCO C71 (Cool Blue, 64 GB)",8999,6399,1080,21407,28% off,32MP Rear Camera | 8MP Front Camera,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor",5200 mAh Battery,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,3.9
"Motorola g45 5G (Brilliant Green, 128 GB)",14999,11999,10117,195416,20% off,50MP + 2MP | 16MP Front Camera,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,4.3
"POCO C75 5G (Aqua Bliss, 64 GB)",10999,7699,4112,83280,30% off,50MP Rear Camera | 5MP Front Camera,4s Gen 2 5G Processor,5160 mAh Battery,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,4.3
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",14999,10999,224,7534,26% off,50MP + 2MP | 5MP Front Camera,Dimensity 6300 5G Processor,6000 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD+ Display,4.5
"vivo T4x 5G (Pronto Purple, 128 GB)",19499,14999,3845,70591,23% off,50MP + 2MP | 8MP Front Camera,Dimensity 7300 5G Processor,6500 mAh Battery,8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,4.5
"Motorola g45 5G (Brilliant Blue, 128 GB)",14999,11999,10117,195416,20% off,50MP + 2MP | 16MP Front Camera,Snapdragon 6s Gen 3 Processor,5000 mAh Battery,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,4.3
"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)",21999,15999,1491,15483,27% off,64MP + 2MP | 13MP Front Camera,Dimensity 7300 Ultimate Processor,5500 mAh Battery,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,4.4
"POCO C71 (Desert Gold, 128 GB)",9999,6999,513,9351,30% off,32MP Rear Camera | 8MP Front Camera,"Unisoc T7250
Max clock speed: 
2 x A75@1.8GHz
6 x A55@1.6GHz Processor",5200 mAh Battery,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,4.1
"vivo T4x 5G (Pronto Purple, 256 GB)",20999,16999,3845,70591,19% off,50MP + 2MP | 8MP Front Camera,Dimensity 7300 5G Processor,6500 mAh Battery,8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,4.5
"vivo T4x 5G (Marine Blue, 128 GB)",17999,13999,4758,91091,22% off,50MP + 2MP | 8MP Front Camera,Dimensity 7300 5G Processor,6500 mAh Battery,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,4.4
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",13999,8699,1184,17201,37% off,50MP + 2MP | 8MP Front Camera,Dimensity 6300 Processor,5000 mAh Battery,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,4.1
"realme P3x 5G (Stellar Pink, 128 GB)",16999,12999,891,25519,23% off,50MP Rear Camera | 8MP Front Camera,Dimensity 6400 Processor,6000 mAh Battery,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Full HD Display,4.4
